
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      107   -21.2500000000        -8.92995937326         28.2842712475     
      108   -21.2500000000        -7.10786437627         20.0520382004     
      109   -21.2500000000        -7.63512270235         24.2504531742     
      110   -15.4175928975        -7.76421456546         28.2842712475     
      111   -15.1010498807        -5.25860282163         24.5515573450     
      112   -17.3598370658        -6.48650623682         25.9046250667     
      113    5.60400070287         15.2450495705        -4.39599929713     
      114    3.53321943661         13.9911919431        -2.87160853392     
      115   -14.1421356237        0.621724893790E-014    10.0000000000     
      116   -17.6960678119         3.55393218814         15.0260191002     
      117   -9.06205334389        0.374537008580E-014    17.2650576700     
      118   -12.0650358859         2.59688070890         20.8724936499     
      119   -17.6960678119        -3.55393218814         15.0260191002     
      120   -12.0650359655        -2.59688069125         20.8724936061     

   NODE        X                   Y                   Z
      121   -8.92995937326        -21.2500000000        -28.2842712475     
      122   -7.10786437627        -21.2500000000        -20.0520382004     
      123   -7.63512270235        -21.2500000000        -24.2504531742     
      124   -10.0000000000        -10.0000000000        -28.2842712475     
      125   -7.76421456546        -15.4175928975        -28.2842712475     
      126   -5.25860282014        -15.1010498860        -24.5515573411     
      127   -6.48650623652        -17.3598370676        -25.9046250652     
      128    10.0000000000        -10.0000000000        -28.2842712475     
      129    8.92995937326        -21.2500000000        -28.2842712475     
      130    7.76421456546        -15.4175928975        -28.2842712475     
      131    7.10786437627        -21.2500000000        -20.0520382004     
      132    7.63512270237        -21.2500000000        -24.2504531743     
      133    5.25860282014        -15.1010498860        -24.5515573411     
      134    6.48650623654        -17.3598370676        -25.9046250653     
      135    3.55393218813        -17.6960678119        -15.0260191002     
      136   0.621724893790E-014  -0.918608097201E-014   -14.1421356237     
      137   0.102087423420E-014   -9.06205334389        -17.2650576700     
      138    5.00000000000        -5.00000000000        -21.2132034356     
      139    2.59688070157        -12.0650359208        -20.8724936314     
      140   -5.00000000000        -5.00000000000        -21.2132034356     

   NODE        X                   Y                   Z
      141   -3.55393218814        -17.6960678119        -15.0260191002     
      142   -2.59688070010        -12.0650359275        -20.8724936277     
      143   -21.2500000000        -7.10786437627        -20.0520382004     
      144   -15.1010498860        -5.25860282014        -24.5515573411     
      145   -17.6960678119        -3.55393218813        -15.0260191002     
      146   -9.06205326230       -0.327505007299E-014   -17.2650576804     
      147   -12.0650358902        -2.59688070410        -20.8724936414     
      148   -10.0000000000         10.0000000000        -28.2842712475     
      149   -5.00000000000         5.00000000000        -21.2132034356     
      150   -21.2500000000         7.10786437627        -20.0520382004     
      151   -17.6960678119         3.55393218813        -15.0260191002     
      152   -15.1010498860         5.25860282014        -24.5515573411     
      153   -12.0650358836         2.59688070557        -20.8724936450     
      154   -8.92995937326         21.2500000000        -28.2842712475     
      155   -7.76421456546         15.4175928975        -28.2842712475     
      156   -7.10786437627         21.2500000000        -20.0520382004     
      157   -7.63512270235         21.2500000000        -24.2504531742     
      158   -5.25860282014         15.1010498860        -24.5515573411     
      159   -6.48650623652         17.3598370676        -25.9046250652     
      160   -12.1824010137         5.24930286627        0.684937700526E-014

   NODE        X                   Y                   Z
      161   -13.3760456468        0.532186999303E-014    4.86684369815     
      162   -15.2450495696         5.60400070460         4.39599929540     
      163   -13.9911919428         3.53321943720         2.87160853329     
      164   -15.2450495696        -5.60400070460         4.39599929540     
      165   -13.9911919428        -3.53321943720         2.87160853329     
      166    8.92995937326         21.2500000000        -28.2842712475     
      167    7.10786437627         21.2500000000        -20.0520382004     
      168    7.63512270235         21.2500000000        -24.2504531742     
      169    10.0000000000         10.0000000000        -28.2842712475     
      170    7.76421456546         15.4175928975        -28.2842712475     
      171    5.25860282014         15.1010498860        -24.5515573411     
      172    6.48650623652         17.3598370676        -25.9046250652     
      173   -3.55393218814         17.6960678119        -15.0260191002     
      174   0.598359166789E-014    9.06205326230        -17.2650576804     
      175   -2.59688070082         12.0650359050        -20.8724936332     
      176    10.0000000000        -10.0000000000       -0.453867082223E-014
      177    5.24930286627        -12.1824010137       -0.544403501831E-014
      178    5.60400070460        -15.2450495696        -4.39599929540     
      179    3.53321943720        -13.9911919428        -2.87160853329     
      180    15.2450495705        -5.60400070287         4.39599929713     

   NODE        X                   Y                   Z
      181    12.1824010137        -5.24930286627       -0.563574164748E-014
      182    13.9911919431        -3.53321943661         2.87160853392     
      183    5.00000000000         5.00000000000        -21.2132034356     
      184    3.55393218814         17.6960678119        -15.0260191002     
      185    2.59688070229         12.0650358984        -20.8724936369     
      186    21.2500000000         8.92995937326        -28.2842712475     
      187    15.4175928975         7.76421456546        -28.2842712475     
      188    21.2500000000         7.10786437627        -20.0520382004     
      189    21.2500000000         7.63512270235        -24.2504531742     
      190    15.1010498860         5.25860282014        -24.5515573411     
      191    17.3598370676         6.48650623652        -25.9046250652     
      192    9.06205334389       -0.196052123012E-014   -17.2650576700     
      193    21.2500000000        -7.10786437627        -20.0520382004     
      194    17.6960678119        -3.55393218814        -15.0260191002     
      195    15.1010498860        -5.25860282014        -24.5515573411     
      196    12.0650359208        -2.59688070157        -20.8724936314     
      197    5.60400070287        -15.2450495705         4.39599929713     
      198    3.53321943661        -13.9911919431         2.87160853392     
      199   -5.60400070460         15.2450495696         4.39599929540     
      200   -3.53321943720         13.9911919428         2.87160853329     

   NODE        X                   Y                   Z
      201   -15.2450495696         5.60400070460        -4.39599929540     
      202   -13.9911919428         3.53321943720        -2.87160853329     
      203    17.6960678119         3.55393218813        -15.0260191002     
      204    12.0650359275         2.59688070010        -20.8724936277     
      205   -21.2500000000        -21.2500000000        -15.9099025767     
      206   -15.6250000000        -15.6250000000        -7.95495128835     
      207   -21.2500000000        -12.1879467377        -12.7869805201     
      208   -18.2798522343        -8.91510608633        -8.63249784007     
      209   -21.2500000000        -21.2500000000         15.9099025767     
      210   -15.6250000000        -15.6250000000         7.95495128835     
      211   -21.2500000000        -12.1879467377         12.7869805201     
      212   -18.2798522243        -8.91510612972         8.63249781647     
      213   -21.2500000000         21.2500000000         15.9099025767     
      214   -21.2500000000         12.1879466561         12.7869805305     
      215   -15.6250000000         15.6250000000         7.95495128835     
      216   -18.2798522276         8.91510610382         8.63249782619     
      217   -21.2500000000         21.2500000000        -15.9099025767     
      218   -15.6250000000         15.6250000000        -7.95495128835     
      219   -21.2500000000         12.1879466561        -12.7869805305     
      220   -18.2798522423         8.91510603998        -8.63249786091     

   NODE        X                   Y                   Z
      221    21.2500000000        -21.2500000000         15.9099025767     
      222    21.2500000000        -12.1879466973         12.7869805252     
      223    15.6250000000        -15.6250000000         7.95495128835     
      224    18.2798522156        -8.91510616116         8.63249779708     
      225    21.2500000000         21.2500000000         15.9099025767     
      226    15.6250000000         15.6250000000         7.95495128835     
      227    21.2500000000         12.1879466973         12.7869805252     
      228    18.2798522157         8.91510616068         8.63249779734     
      229    21.2500000000         21.2500000000        -15.9099025767     
      230    15.6250000000         15.6250000000        -7.95495128835     
      231    21.2500000000         12.1879466840        -12.7869805269     
      232    18.2798522165         8.91510615539        -8.63249779950     
      233   -12.1879466561         21.2500000000        -12.7869805305     
      234   -8.91510610382         18.2798522276        -8.63249782619     
      235    12.1879466973         21.2500000000        -12.7869805252     
      236    8.91510616116         18.2798522156        -8.63249779708     
      237   -12.1879466561         21.2500000000         12.7869805305     
      238   -8.91510603998         18.2798522423         8.63249786091     
      239    12.1879466973         21.2500000000         12.7869805252     
      240    8.91510616083         18.2798522157         8.63249779726     

   NODE        X                   Y                   Z
      241    12.1879466973        -21.2500000000         12.7869805252     
      242    8.91510616068        -18.2798522157         8.63249779734     
      243   -12.1879466561        -21.2500000000        -12.7869805305     
      244   -8.91510605003        -18.2798522400        -8.63249785545     
      245    21.2500000000        -21.2500000000        -15.9099025767     
      246    15.6250000000        -15.6250000000        -7.95495128835     
      247    12.1879466561        -21.2500000000        -12.7869805305     
      248    8.91510609342        -18.2798522300        -8.63249783185     
      249   -12.1879466561        -21.2500000000         12.7869805305     
      250   -8.91510609342        -18.2798522300         8.63249783185     
      251   -21.2500000000        -8.92995937326        -28.2842712475     
      252   -15.4175928975        -7.76421456546        -28.2842712475     
      253   -21.2500000000        -7.63512270235        -24.2504531742     
      254   -17.3598370676        -6.48650623652        -25.9046250652     
      255   -21.2500000000         8.92995937326        -28.2842712475     
      256   -21.2500000000         7.63512270235        -24.2504531742     
      257   -15.4175928975         7.76421456546        -28.2842712475     
      258   -17.3598370676         6.48650623652        -25.9046250652     
      259    21.2500000000        -8.92995937326        -28.2842712475     
      260    21.2500000000        -7.63512270235        -24.2504531742     

   NODE        X                   Y                   Z
      261    15.4175928975        -7.76421456546        -28.2842712475     
      262    17.3598370676        -6.48650623652        -25.9046250652     

